Map1,Map2,Choice,MapVote,Date,FullPartial,Result,Eliminations,Deaths,Score,Damage,TotalXP,PrimaryWeapon,XPType,DidPlayerVote,GameType,Confirms,Denies,Objectives,ObjectiveKills,Captures,Diffuses,Plants,Detonates,Deposits,Time_Sec,Time_Min
Slums,Hijacked,Slums,3 to 0,12/14/21,Full,250-131,12,22,2585,290,16958,RPD,Double XP + 10%,No,HC - Hardpoint,,,4,30,1,,,,,,
,,Riad,,12/17/21,Partial,100-63,11,14,1695,309,10670,RPD,10% Boost,No,HC - TDM,,,,,,,,,,,
Express,Crossroads Strike,Crossroads Strike,2 to 1,12/17/21,Full,100-65,22,8,4780,601,10989,RPD,10% Boost,No,HC - TDM,,,,,,,,,,,
Zoo ,Deprogram,Zoo,2 to 0,12/17/21,Full,100-96,15,13,2350,432,17533,RPD,10% Boost,No,HC - TDM,,,,,,,,,,,
Echelon,Satellite,Satellite,2 to 0,12/17/21,,,,,,,,,,No,HC - TDM,,,,,,,,,,,
,,Collateral Strike,,12/21/21,Partial,81-100,27,13,6280,755,26563,RPD,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Drive-In,Yamantau,Drive-In,4 to 1,12/21/21,,,,,,,,,,No,HC - TDM,,,,,,,,,,,
Express,Raid,Raid,3 to 1,12/21/21,Full,76-100,16,21,2025,427,9405,RPD,10% Boost,No,HC - TDM,,,,,,,,,,,
The Pines,Drive-In,The Pines,3 to 0,12/21/21,Full,86-91,22,13,4535,654,17919,RPD,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Miami Strike,Standoff,Miami Strike,3 to 1,12/21/21,Full,100-75,26,13,5550,728,16687,RPD,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
,,Apocalypse,,12/21/21,Partial,92-100,3,10,550,84,8519,RPD,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Slums,Zoo,Slums,3 to 1,12/21/21,Full,77-100,15,18,2440,410,5977,RPD,10% Boost,No,HC - TDM,,,,,,,,,,,
Rush,Diesel,Diesel,2 to 0,12/21/21,Full,100-67,28,13,4540,807,9630,RPD,10% Boost,No,HC - TDM,,,,,,,,,,,
Cartel,Zoo,Cartel,3 to 0,12/23/21,Full,100-84,20,14,3895,559,18610,RPD,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Echelon,Collateral Strike,Echelon,2 to 2,12/23/21,Full,49-100,5,24,500,158,11104,RPD,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Armada Strike,Yamantau,Yamantau,3 to 1,12/23/21,Full,100-99,18,15,3585,506,19338,RPD,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
,,Hijacked,,12/23/21,Partial,250-138,8,13,1765,207,15124,RPD,Double XP + 10%,No,HC - Hardpoint,,,,5,,,,,,10,2
The Pines,Diesel,Diesel,4 o 0,12/23/21,Full,250-121,17,11,2520,480,15568,RPD,Double XP + 10%,No,HC - Hardpoint,,,,13,,,,,,23,2
,,The Pines,,12/23/21,Partial,239-250,21,25,2875,589,20230,RPD,Double XP + 10%,No,HC - Hardpoint,,,,9,,,,,,20,1
Checkmate,Garrison,Garrison,2 to 1,12/23/21,Full,250-101,8,13,1505,189,10792,RPD,Double XP + 10%,No,HC - Hardpoint,,,,3,,,,,,3,2
,,Hijacked,,12/23/21,Full,52-250,15,24,2040,383,14424,RPD,Double XP + 10%,No,HC - Hardpoint,,,,7,,,,,,22,0
,,Echelon,,12/24/21,Partial,74-250,3,12,335,90,7861,RPD,Double XP + 10%,No,HC - Hardpoint,,,,0,,,,,,29,0
Armada Strike,Miami Strike,Armada Strike,1 to 1,12/24/21,Full,236-250,9,26,2185,230,12485,RPD,Double XP + 10%,No,HC - Hardpoint,,,,7,,,,,,28,2
Express,Standoff,Express,1 to 0,12/24/21,,,,,,,,,,No,HC - Hardpoint,,,,,,,,,,,
,,Standoff,,12/24/21,Partial,77-100,6,6,850,168,7566,RPD,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Diesel,Apocalypse,Apocalypse,3 to 2,12/24/21,Full,89-100,23,12,5035,619,26954,RPD,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Moscow,Yamantau,Yamantau,4 to 0,12/24/21,Full,74-100,13,18,2695,337,16423,RPD,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Crossroads Strike,Slums,Crossroads Strike,2 to 1,12/24/21,Full,97-100,24,16,5630,632,13437,RPD,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Checkmate,Yamantau,Yamantau,1 to 0,12/24/21,Full,95-100,20,16,4045,560,18855,RPD,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Armada Strike,Cartel,Cartel,3 to 1,12/24/21,Full,56-62,10,11,2225,279,12730,RPD,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Express,Drive-In,Express,3 to 1,12/24/21,Full,94-100,13,10,2185,364,10472,RPD,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Apocalypse,Zoo,Apocalypse,6 to 0,12/24/21,Full,100-96,13,16,2735,342,14155,RPD,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Rush,Diesel,Diesel,5 to 1,12/24/21,,,,,,,,,,No,HC - TDM,,,,,,,,,,,
Drive-In,Express,Drive-In,5 to 1,12/25/21,Full,91-91,18,14,3980,491,21894,RPD,Double XP + 10% ,No,HC - TDM,,,,,,,,,,,
The Pines,Moscow,The Pines,2 to 2,12/25/21,Full,97-87,12,12,2450,336,15041,RPD,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Checkmate,Rush,Checkmate,2 to 1,12/25/21,Full,100-90,16,14,3275,446,23301,RPD,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Slums,Hijacked,Slums,2 to 2,12/25/21,Full,100-87,16,17,3870,446,20257,RPD,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Cartel,Garrison,Cartel,3 to 1,12/25/21,Full,62-86,7,18,1345,196,11272,RPD,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Apocalypse,Checkmate,Checkmate,2 to 0,12/25/21,Full,83-71,9,16,1165,261,14219,RPD,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Express,Deprogram,Express,3 to 2,12/25/21,Full,92-100,19,15,3710,501,15101,RPD,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Miami Strike,Apocalypse,Miami Strike,1 to 0,12/25/21,Full,100-58,13,2,4055,344,10031,RPD,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Amerika,The Pines,The Pines,1 to 0,12/25/21,Full,84-89,23,15,4295,644,17503,RPD,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
,,Deprogram,,12/25/21,Full,100-91,8,15,1135,231,13538,RPD,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
,,Hijacked,,1/1/22,Partial,250-227,11,17,1740,285,13453,M60,Double XP + 10%,No,HC - Hardpoint,,,,7,,,,,,15,1
Express,Deprogram,Express,1 to 1,1/1/22,Full,250-166,23,17,3465,607,19672,M60,Double XP + 10%,No,HC - Hardpoint,,,,9,,,,,,54,1
Checkmate,Cartel,Checkmate,3 to 0,1/1/22,Full,184-250,28,26,4210,738,41163,M60,Double XP + 10%,No,HC - Hardpoint,,,,8,,,,,,43,0
,,Cartel,,1/1/22,Partial,128-250,5,15,1055,140,7197,Pellington,Double XP + 10%,No,HC - Hardpoint,,,,3,,,,,,30,0
Moscow,Yamantau,Moscow,0 to 0,1/1/22,Full,149-250,11,24,1715,307,13331,Pellington,Double XP + 10%,No,HC - Hardpoint,,,,8,,,,,,13,0
Raid,Zoo,Raid,4 to 0,1/1/22,Full,250-203,14,21,2075,399,16124,Pellington,Double XP + 10%,No,HC - Hardpoint,,,,7,,,,,,16,2
,,Armada Strike,,1/1/22,Full,250-236,34,17,6205,868,37162,Pellington,Double XP + 10%,No,HC - Hardpoint,,,,19,,,,,,44,1
Crossroads Strike,Armada Strike,Crossroads Strike,2 to 1,1/1/22,Full,250-56,7,11,1855,186,9574,Pellington,Double XP + 10%,No,HC - Hardpoint,,,,5,,,,,,19,1
,,Zoo,,1/2/22,Partial,63-51,1,9,255,58,3060,Pellington,Double XP + 10%,No,HC - Kill Confirmed,1,2,3,,,,,,,,
Rush,Deprogram,Rush,2 to 1,1/2/22,Full,65-46,5,12,610,138,9253,Pellington,Double XP + 10%,No,HC - Kill Confirmed,4,4,8,,,,,,,,
,,Yamantau,,1/2/22,Full,47-65,5,22,965,157,9394,Pellington,Double XP + 10%,No,HC - Kill Confirmed,5,6,11,,,,,,,,
Hijacked,Satellite,Hijacked,2 to 1,1/2/22,Full,100-83,12,15,1295,323,14756,Pellington,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Crossroads Strike,Standoff,Crossroads Strike,3 to 3,1/2/22,Full,89-100,9,16,975,247,9736,Pellington,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
,,Armada Strike,,1/2/22,Partial,85-73,6,14,1510,168,10882,Pellington,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Standoff,Yamantau,Standoff,4 to 0,1/2/22,Full,84-100,10,20,1260,251,16144,Pellington,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
,,Slums,,1/2/22,Full,71-100,12,19,975,322,15198,Pellington,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
,,Echelon,,1/2/22,Partial,63-100,3,8,605,84,7750,Pellington,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Amerika,Checkmate,Checkmate,2 to 1,1/2/22,Full,100-58,11,14,1535,252,25189,Pellington,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Slums,Raid,Raid,2 to 1,1/2/22,Full,79-100,12,17,2350,335,12292,Pellington,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Nuketown '84,Drive-In,Nuketown '84,4 to 2,1/2/22,Full,100-55,21,8,4085,566,14720,AK-47,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Miami Strike,Rush,Rush,2 to 0,1/2/22,Full,37-100,12,17,2280,325,10401,AK-47,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Crossroads Strike,Yamantau,Crossroads Strike,4 to 3,1/2/22,Full,100-42,19,7,3905,530,10645,AK-47,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Moscow,Drive-In,Drive-In,5 to 0,1/2/22,Full,100-87,23,16,3510,582,21373,AK-47,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Standoff,Deprogram,Standoff,2 to 1,1/2/22,Full,100-71,16,13,2660,432,21444,AK-47,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
The Pines,Garrison,The Pines,3 to 1,1/2/22,Full,84-100,16,20,2760,425,17822,AK-47,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Miami Strike,Rush,Miami Strike,1 to 0,1/2/22,Full,100-94,26,10,7195,728,23561,AK-47,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Cartel,Echelon,Cartel,2 to 1,1/2/22,,,,,,,,,,No,HC - TDM,,,,,,,,,,,
,,Diesel,,1/2/22,Full,100-79,24,11,4030,666,19190,AK-47,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Standoff,Echelon,Standoff,4 to 0,1/2/22,Full,77-100,14,18,2120,388,13910,AK-47,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Zoo ,Satellite,Zoo,2 to 1,1/2/22,Full,100-57,21,11,3810,561,18220,AK-47,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
,,Satellite,,1/2/22,Partial,250-67,5,4,400,127,4917,AK-47,Double XP + 10%,No,HC - Hardpoint,,,,3,,,,,,8,0
Moscow,Zoo,Moscow,1 to 0,1/2/22,Full,161-250,30,20,5835,792,31894,AK-47,Double XP + 10%,No,HC - Hardpoint,,,,19,,,,,,16,1
Slums,Apocalypse,Slums,3 to 0,1/2/22,Full,97-250,19,18,3845,549,14298,AK-47,Double XP + 10%,No,HC - Hardpoint,,,,7,,,,,,41,0
Armada Strike,Standoff,Standoff,2 to 0,1/2/22,Full,250-101,8,16,1875,224,11421,AK-47,Double XP + 10%,No,HC - Hardpoint,,,,4,,,,,,14,2
Collateral Strike,Deprogram,Collateral Strike,2 to 0,1/2/22,Full,237-250,23,25,4075,617,25091,AK-47,Double XP + 10%,No,HC - Hardpoint,,,,8,,,,,,21,1
Crossroads Strike,Raid,Crossroads Strike,2 to 2,1/2/22,Full,38-250,9,19,1190,252,12904,AK-47,Double XP + 10%,No,HC - Hardpoint,,,,3,,,,,,25,0
Yamantau,Garrison,Yamantau,3 to 0,1/2/22,Full,250-66,20,17,3140,532,16034,AK-47,Double XP + 10%,No,HC - Hardpoint,,,,5,,,,,,7,2
Express,Drive-In,Drive-In,2 to 0,1/4/22,Full,250-208,27,23,4830,757,27373,AUG,Double XP + 10%,No,HC - Hardpoint,,,,21,,,,,,9,3
Collateral Strike,Checkmate,Checkmate,4 to 2,1/4/22,Full,250-173,26,29,3680,672,14594,AUG,10% Boost,No,HC - Hardpoint,,,,16,,,,,,49,1
,,Standoff,,1/5/22,Partial,250-179,7,8,1000,182,11349,AUG ,10% Boost,No,HC - Hardpoint,,,,3,,,,,,13,1
Echelon,Zoo,Echelon,3 to 3,1/5/22,Full,250-24,9,8,1570,227,8031,AUG ,10% Boost,No,HC - Hardpoint,,,,4,,,,,,27,1
Nuketown '84,Armada Strike,Nuketown '84,2 to 0,1/5/22,Full,240-234,39,38,5865,1040,31190,AUG ,Double XP + 10%,No,HC - Hardpoint,,,,14,,,,,,51,1
,,Hijacked,,1/7/22,Partial,100-90,18,8,4385,493,13188,AUG,10% Boost,No,HC - TDM,,,,,,,,,,,
,,Garrison,,1/7/22,Partial,108-250,16,16,2495,447,12321,AUG,10% Boost,No,HC - Hardpoint,,,,4,,,,,,5,1
Collateral Strike,Rush,Collateral Strike,0 to 0,1/8/22,Full,39-250,14,19,1610,364,15805,AUG,Double XP + 10%,No,HC - Hardpoint,,,,12,,,,,,21,0
Checkmate,Slums,Slums,6 to 0,1/8/22,Full,168-250,18,29,1870,197,14160,AUG,Double XP + 10%,No,HC - Hardpoint,,,,5,,,,,,32,1
Drive-In,Deprogram,Drive-In,3 to 0,1/8/22,Full,250-149,19,27,2725,499,12335,AUG,10% Boost,No,HC - Hardpoint,,,,11,,,,,,17,1
Express,Miami Strike,Miami Strike,5 to 1,1/14/22,Full,197-250,27,21,4110,695,31085,AUG,Double XP + 10%,No,HC - Hardpoint,,,,15,,,,,,49,1
Checkmate,Apocalypse,Checkmate,1 to 0,1/14/22,Full,250-209,25,26,4685,653,26089,AUG,Double XP + 10%,No,HC - Hardpoint,,,,19,,,,,,16,3
,,Express,,1/14/22,Full,227-250,22,27,3780,572,22605,AUG,Double XP + 10%,No,HC - Hardpoint,,,,13,,,,,,38,2
,,Diesel,,1/14/22,Partial,250-149,19,19,2905,525,33786,AUG,Double XP + 10%,No,HC - Hardpoint,,,,6,,,,,,11,1
Moscow,Deprogram,Deprogram,1 to 0,1/14/22,,,,,,,,,,No,HC - Hardpoint,,,,,,,,,,,
,,Standoff,,1/14/22,Full,250-215,19,26,2225,461,21726,AUG,Double XP + 10%,No,HC - Hardpoint,,,,7,,,,,,59,0
Miami Strike,Apocalypse,Apocalypse,2 to 0,1/14/22,Full,118-250,20,28,2280,473,14561,AUG,Double XP + 10%,No,HC - Hardpoint,,,,11,,,,,,22,0
Moscow,Rush,Rush,3 to 0,1/14/22,Full,250-171,12,18,1930,320,18540,AUG,Double XP + 10%,No,HC - Hardpoint,,,,7,,,,,,7,2
,,Drive-In,,1/15/22,Partial,196-250,9,26,1695,217,15865,AUG,Double XP + 10%,No,HC - Hardpoint,,,,5,,,,,,38,1
The Pines,Yamantau,Yamantau,3 to 0,1/15/22,Full,250-157,20,24,2725,559,17044,AUG,Double XP + 10%,No,HC - Hardpoint,,,,7,,,,,,6,2
,,Miami Strike,,1/15/22,Partial,68-100,14,12,2820,392,14050,AUG,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
,,Satellite,,1/15/22,Full,98-96,30,15,6315,802,24761,AUG,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
,,Armada Strike,,1/16/22,Full,100-64,15,10,3085,419,20384,AUG,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Zoo,Nuketown '84,Nuketown '84,3 to 1,1/16/22,Full,100-35,12,3,2550,322,9041,AUG,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Garrison,Moscow,Garrison,2 o 0,1/16/22,Full,46-100,11,22,2505,339,12403,AUG,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Miami Strike,Express,Express,4 to 3,1/16/22,Full,100-83,13,13,2010,354,15312,AUG,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Nuketown '84,Miami Strike,Miami Strike,4 to 1,1/16/22,Full,200-135,17,21,3635,479,21065,AUG,Double XP + 10%,No,HC - Domination,,,18,8,10,,,,,,
Hijacked,Crossroads Strike,Crossroads Strike,3 to 1,1/16/22,Full,179-200,23,28,4655,604,20323,AUG,Double XP + 10%,No,HC - Domination,,,24,13,11,,,,,,
,,Armada Strike,,1/17/22,Full,250-95,20,18,2300,549,22143,AUG,Double XP + 10%,No,HC - Hardpoint,,,,9,,,,,,7,2
,,Crossroads Strike,,1/17/22,Full,250-166,15,31,2985,351,15371,AUG,Double XP + 10%,No,HC - Hardpoint,,,,7,,,,,,0,2
Zoo,The Pines,Zoo,2 to 0,1/17/22,Full,150-250,13,33,2205,377,14000,AUG,Double XP + 10%,No,HC - Hardpoint,,,,3,,,,,,2,1
Slums,Drive-In,Drive-In,2 to 0,1/17/22,Full,250-104,17,17,2350,470,22907,AUG,Double XP + 10%,No,HC - Hardpoint,,,,8,,,,,,23,1
Checkmate,Amerika,Checkmate,1 to 0,1/17/22,Full,250-89,14,14,2680,381,17221,AUG,Double XP + 10%,No,HC - Hardpoint,,,,11,,,,,,34,2
Standoff,Crossroads Strike,Crossroads Strike,3 to 1,1/17/22,Full,100-86,17,17,3350,488,13315,AK-47,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Echelon,Cartel,Cartel,3 to 2,1/17/22,Full,76-53,13,9,2550,348,22765,AK-47,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Checkmate,Rush,Checkmate,3 to 1,1/17/22,Full,86-91,24,17,4995,657,19759,AK-47,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
,,Amerika,,1/29/22,Partial,100-86,7,11,1415,195,4083,Groza,10% Boost,No,HC - TDM,,,,,,,,,,,
Armada Strike,Collateral Strike,Armada Strike,3 to 1,1/29/22,Full,100-91,17,15,2920,420,9285,Groza,10% Boost,No,HC - TDM,,,,,,,,,,,
,,Amerika,,1/29/22,Partial,99-100,10,12,2570,227,7029,Groza,10% Boost,No,HC - TDM,,,,,,,,,,,
Raid ,Express,Raid,1 to 1,1/29/22,Full,95-100,21,16,8710,545,17454,Groza,10% Boost,No,HC - TDM,,,,,,,,,,,
Yamantau,Amerika,Yamantau,1 to 1,1/30/22,Full,250-196,42,17,8705,1124,14541,Groza,10% Boost,No,HC - Hardpoint,,,,30,,,,,,14,3
Garrison,Moscow,Moscow,4 to 1,1/30/22,Full,250-44,13,5,3845,363,15442,Groza,Double XP + 10%,No,HC - Hardpoint,,,,7,,,,,,45,2
Moscow,Cartel,Moscow,1 to 1,1/30/22,Full,89-100,12,21,2030,335,20958,Groza,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
The Pines,Echelon,Echelon,3 to 2,2/2/22,Full,100-91,18,19,2630,488,9519,Groza,10% Boost,No,HC - TDM,,,,,,,,,,,
,,Standoff,,2/4/22,Full,100-54,21,6,3285,588,9211,Groza,10% Boost,No,HC - TDM,,,,,,,,,,,
Slums,Raid,Raid,5 to 1,2/4/22,Full,100-68,13,11,2820,364,11712,Groza,10% Boost,No,HC - TDM,,,,,,,,,,,
Express,Checkmate,Express,1 to 0,2/4/22,Full,95-99,16,18,2250,424,8920,Groza,10% Boost,No,HC - TDM,,,,,,,,,,,
Moscow,Hijacked,Hijacked,4 to 1,2/4/22,Full,100-82,6,13,1590,168,5624,Groza,10% Boost,No,HC - TDM,,,,,,,,,,,
Moscow,The Pines,The Pines,1 to 0,2/5/22,Full,182-250,28,26,3550,728,19902,Groza,Double XP + 10%,No,HC - Hardpoint,,,,15,,,,,,0,2
Slums,Apocalypse,Slums,0 to 0,2/5/22,Full,250-185,16,17,3070,425,19489,Groza,Double XP + 10%,No,HC - Hardpoint,,,,14,,,,,,55,2
Echelon,Checkmate,Checkmate,4 to 2,2/5/22,Full,88-99,16,20,2405,472,19675,Groza,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Echelon,Express,Express,2 to 0,2/6/22,Full,100-89,15,6,4500,401,16139,Groza,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Zoo,Echelon,Zoo,1 to 1,2/6/22,Full,100-60,18,10,2765,528,11255,Groza,10% Boost,No,HC - TDM,,,,,,,,,,,
Yamantau,Garrison,Yamantau,1 to 0,2/6/22,Full,250-87,20,15,2975,513,9805,Groza,10% Boost,No,HC - Hardpoint,,,,14,,,,,,42,2
,,Echelon,,2/7/22,Full,90-90,15,18,1740,419,8462,Groza,10% Boost,No,HC - TDM,,,,,,,,,,,
,,Armada Strike,,2/8/22,Full,100-52,21,8,3295,587,13916,Groza,10% Boost,No,HC - TDM,,,,,,,,,,,
Slums,Cartel,Slums,3 to 0,2/9/22,Partial,72-100,11,21,1305,282,8328,Groza,10% Boost,No,HC - TDM,,,,,,,,,,,
Rush,The Pines,Rush,2 to 1,2/9/22,Full,100-78,18,11,3225,503,9108,Groza,10% Boost,No,HC - TDM,,,,,,,,,,,
Garrison,Collateral Strike,Collateral Strike,2 to 1,2/13/22,Full,69-100,10,23,1900,280,8061,Groza,10% Boost,No,HC - TDM,,,,,,,,,,,
Deprogram,Echelon,Deprogram,3 to 1,2/16/22,Full,250-88,14,23,1920,390,11058,Groza,10% Boost,No,HC - Hardpoint,,,,4,,,,,,49,1
Hijacked,Satellite,Satellite,3 to 2,2/16/22,Full,169-250,27,16,3755,780,8774,Groza,10% Boost,No,HC - Hardpoint,,,,17,,,,,,26,2
The Pines,Moscow,The Pines,4 to 0,2/16/22,Full,133-250,21,24,2100,556,8828,Groza,10% Boost,No,HC - Hardpoint,,,,9,,,,,,42,0
,,Standoff,,2/19/22,Partial,51-250,7,2,1425,170,5846,Groza,10% Boost,No,HC - Hardpoint,,,,5,,,,,,30,0
Raid,Amerika,Raid,3 to 0,2/19/22,Full,250-140,20,18,3355,518,16412,Groza,Double XP + 10%,No,HC - Hardpoint,,,,10,,,,,,31,2
Echelon,Crossroads Strike,Crossroads Strike,1 to 0,2/21/22,Full,250-230,16,26,2355,459,14786,Groza,10% Boost,No,HC - Hardpoint,,,,8,,,,,,26,2
The Pines,Zoo,The Pines,2 to 2,2/21/22,Full,250-104,9,22,1865,210,6469,Groza,10% Boost,No,HC - Hardpoint,,,,7,,,,,,25,2
,,Slums,,3/1/22,Full,192-250,25,22,3395,639,14715,Groza,10% Boost,No,HC - Hardpoint,,,,10,,,,,,4,2
,,Amerika,,3/3/22,Partial,189-250,21,24,3045,560,13541,Groza,10% Boost,No,HC - Hardpoint,,,,6,,,,,,48,0
Cartel,Deprogram,Cartel,1 to 1,3/3/22,Full,250-234,21,25,3065,589,12207,Groza,10% Boost,No,HC - Hardpoint,,,,14,,,,,,38,2
Checkmate,Zoo,Checkmate,4 to 1,3/3/22,Full,250-36,18,11,2945,482,15657,Groza,Double XP + 10%,No,HC - Hardpoint,,,,7,,,,,,42,2
Cartel,The Pines,Cartel,2 to 1,3/5/22,Full,250-128,30,19,4380,826,20850,Groza,10% Boost,No,HC - Hardpoint,,,,15,,,,,,43,2
,,Miami Strike,,3/5/22,Full,250-202,20,24,2795,557,8059,Groza,10% Boost,No,HC - Hardpoint,,,,9,,,,,,25,2
Drive-In,Cartel,Drive-In,0 to 0,3/5/22,Full,250-43,13,15,1535,324,9122,Groza,10% Boost,No,HC - Hardpoint,,,,7,,,,,,48,1
Apocalypse,Miami Strike,Miami Strike,2 to 0,3/5/22,Full,190-250,10,23,2070,281,8255,Groza,10% Boost,No,HC - Hardpoint,,,,4,,,,,,44,1
Slums,Amerika,Slums,1 to 0,3/6/22,Full,56-250,17,17,2530,471,8273,Groza,10% Boost,No,HC - Hardpoint,,,,9,,,,,,49,0
